code,product_name,brand,brand_raw,quantity,serving_size,sugars_100g,caffeine_mg_100g,energy_kcal_100g,nutriscore_grade,ingredients_text,countries,url,scraped_at
0055070003524,Bloom Nutrition Energy Drink Tropical Blast,Bloom Nutrition,Bloom Nutrition,355 ml,1 can,0.0,15.1,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/2440634806607,2026-07-06T16:19:06Z
2848731919879,Prime Energy Drink Citrus,Prime,Prime,473 ml,250 ml,12.7,28.2,57.5,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/0546658912085,2026-07-06T16:19:06Z
5130451855715,Zipfizz Energy Drink Citrus,Zipfizz,Zipfizz,250 ml,250 ml,10.6,18.7,47.5,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/3192952019266,2026-07-06T16:19:06Z
4343225855124,Liquid Death Energy Drink Cherry Limeade,Liquid Death,Liquid Death,355 ml,1 can,0.0,17.1,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/6470263545473,2026-07-06T16:19:06Z
8697149966195,Celsius Energy Drink Original,Celsius,Celsius,500 ml,355 ml,0.0,21.2,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/6516371548327,2026-07-06T16:19:06Z
9587068530636,Rockstar Energy Drink Watermelon,Rockstar,Rockstar,500 ml,250 ml,11.0,20.7,50.1,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/3083929906386,2026-07-06T16:19:06Z
0268310679883,AdvoCare Energy Drink Citrus,AdvoCare,AdvoCare,500 ml,1 can,9.5,30.3,45.0,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/1367606524296,2026-07-06T16:19:06Z
5354259618773,Alani Nu Energy Drink Mango,Alani Nu,Alani Nu,473 ml,355 ml,0.0,24.8,0,c,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/4982519826617,2026-07-06T16:19:06Z
0988308904077,Bang Energy Drink Grape,Bang,Bang,355 ml,1 can,0.0,16.8,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/9156997673638,2026-07-06T16:19:06Z
7231075747515,Pureboost Energy Drink Watermelon,Pureboost,Pureboost,250 ml,1 can,0.0,9.8,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/4904464900602,2026-07-06T16:19:06Z
3645264684250,NOS Energy Drink Watermelon,NOS,NOS,473 ml,1 can,9.7,23.2,42.6,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/9643981332608,2026-07-06T16:19:06Z
0286241942369,GURU Energy Drink Mango,GURU,GURU,250 ml,250 ml,12.8,10.4,59.0,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/1036937066178,2026-07-06T16:19:06Z
2070304950580,C4 Energy Drink Watermelon,C4,C4,250 ml,1 can,0.0,13.8,0,c,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/4955006532632,2026-07-06T16:19:06Z
5516939080972,Zoa Energy Drink Citrus,Zoa,Zoa,355 ml,1 can,0.0,23.9,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/6085632844614,2026-07-06T16:19:06Z
3512670454249,G Fuel Energy Drink Blue Razz,G Fuel,G Fuel,250 ml,1 can,0.0,15.6,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/4923885778424,2026-07-06T16:19:06Z
0986712861740,Reign Energy Drink Tropical Blast,Reign,Reign,250 ml,250 ml,0.0,17.9,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/2196472126608,2026-07-06T16:19:06Z
2144229485098,Bloom Nutrition Energy Drink Mango,Bloom Nutrition,Bloom Nutrition,250 ml,250 ml,0.0,28.9,0,c,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/4489103972677,2026-07-06T16:19:06Z
6489490231514,Red Bull Energy Drink Grape,Red Bull,Red Bull,250 ml,355 ml,12.8,22.1,58.3,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/3758898660982,2026-07-06T16:19:06Z
0299802690397,Prime Energy Drink Citrus,Prime,Prime,355 ml,250 ml,12.6,24.0,57.4,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/5582775299571,2026-07-06T16:19:06Z
5876026850785,Monster Energy Drink Citrus,Monster,Monster,355 ml,355 ml,11.2,19.3,49.9,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/4294894431144,2026-07-06T16:19:06Z
2370499022988,C4 Energy Drink Watermelon,C4,C4,473 ml,355 ml,0.0,24.6,0,c,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/4539856591828,2026-07-06T16:19:06Z
4184752892539,Monster Energy Drink Blue Razz,Monster,Monster,355 ml,250 ml,13.0,30.0,55.7,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/7495822594153,2026-07-06T16:19:06Z
1100452277469,Liquid I.V. Energy Drink Cotton Candy,Liquid I.V.,Liquid I.V.,355 ml,355 ml,9.8,24.4,41.9,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/2121075894434,2026-07-06T16:19:06Z
6941179027833,Rockstar Energy Drink Vanilla,Rockstar,Rockstar,500 ml,1 can,11.6,28.2,51.2,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/0628062744493,2026-07-06T16:19:06Z
0521462460905,Reign Energy Drink Strawberry Kiwi,Reign,Reign,250 ml,355 ml,0.0,22.9,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/0337302615713,2026-07-06T16:19:06Z
3273796172575,Liquid Death Energy Drink Frozen Berry,Liquid Death,Liquid Death,250 ml,250 ml,0.0,19.7,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/2105295618485,2026-07-06T16:19:06Z
2236852906803,Celsius Energy Drink Citrus,Celsius,Celsius,355 ml,1 can,0.0,13.0,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/1475196103540,2026-07-06T16:19:06Z
0386890825533,Red Bull Energy Drink Cotton Candy,Red Bull,Red Bull,473 ml,250 ml,10.7,12.1,46.8,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/1515937882116,2026-07-06T16:19:06Z
3928104561890,Liquid Death Energy Drink Strawberry Kiwi,Liquid Death,Liquid Death,355 ml,250 ml,0.0,20.3,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/6725448936679,2026-07-06T16:19:06Z
4424971056387,Celsius Energy Drink Grape,Celsius,Celsius,473 ml,250 ml,0.0,24.2,0,c,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/1096748573316,2026-07-06T16:19:06Z
7997897282127,Prime Energy Drink Peach Mango,Prime,Prime,355 ml,1 can,9.0,29.0,38.6,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/6070319342783,2026-07-06T16:19:06Z
